precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"ANA BIRCHALL-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","CRISTIAN DIACONESCU-voturi","MIRCEA-DAN GEOANĂ-voturi","SILVIU PREDOIU-voturi","CRISTIAN-VASILE TERHEȘ-voturi","LUDOVIC ORBAN-voturi","CĂLIN GEORGESCU-voturi","ELENA-VALERICA LASCONI-voturi","ION-MARCEL CIOLACU-voturi","ALEXANDRA-BEATRICE BERTALAN-PĂCURARU-voturi","NICOLAE-IONEL CIUCĂ-voturi","GEORGE-NICOLAE SIMION-voturi","HUNOR KELEMEN-voturi"
43,STRĂINĂTATE,"MANCHESTER 2",576,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 05:07:26",0,10,10,0,10,10,0,10,10,0,2,0,1,0,0,0,0,0,3,0,0,4,0,0
43,STRĂINĂTATE,"EDINBURGH 1",596,"REGATUL UNIT AL MARII BRITANII ȘI AL IRLANDEI DE NORD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 02:01:56",0,3,3,0,3,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
43,STRĂINĂTATE,RABAT,605,"REGATUL MAROC",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 11:21:31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CIUDAD DE MEXICO",606,MEXIC,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 06:07:49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CHIȘINĂU 1",607,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:15:51",0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
43,STRĂINĂTATE,"BĂLȚI 1",641,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:26:14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CAHUL 1",658,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:17:01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,PODGORICA,666,MUNTENEGRU,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:25:57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ABUJA,667,"REPUBLICA FEDERALĂ NIGERIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:28:52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"OSLO 3",670,NORVEGIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:42:11",0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
43,STRĂINĂTATE,"HAGA 1",678,"REGATUL ȚĂRILOR DE JOS",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 03:27:36",0,18,17,1,17,17,0,17,16,1,0,0,0,3,0,0,0,0,10,1,0,2,0,0
