precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",52,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:44:53",1296,573,535,38,0,565,8,1400,827,157,169,9,0,7,94,2,0,3,2,122
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",53,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:00:45",1451,664,583,80,1,657,7,1500,836,209,159,16,1,5,105,1,1,2,4,154
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",54,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:15:27",951,426,359,67,0,418,8,1000,574,141,110,10,0,1,55,1,1,0,0,99
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",55,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:42:26",1123,521,494,27,0,511,10,1200,679,183,116,9,2,5,68,0,0,2,4,122
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",56,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:14:50",875,431,380,51,0,429,2,1000,569,126,138,15,2,0,61,1,0,2,0,84
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",57,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:58",1062,492,451,41,0,487,5,1100,608,167,120,12,0,3,85,3,2,2,1,92
1,ALBA,"ȘCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",58,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:53:36",1197,636,442,51,143,626,10,1300,664,282,104,21,7,5,101,1,3,3,5,94
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",59,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:24:35",1093,565,403,31,131,549,16,1200,635,251,124,20,3,0,70,3,4,2,3,69
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",60,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:09",1085,589,449,29,111,578,11,1200,611,261,119,17,6,4,90,4,0,1,1,75
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",61,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:05:01",1060,593,429,32,132,580,13,1100,507,263,115,22,4,8,99,1,0,0,1,67
1,ALBA,"ȘCOALA GIMNAZIALĂ „AXENTE SEVER” AIUD",62,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:14:10",1183,629,482,21,126,623,6,1300,671,239,141,24,1,6,115,2,1,3,3,88
1,ALBA,"COLEGIUL NAŢIONAL ”TITU MAIORESCU” AIUD",63,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:22:52",1399,677,567,55,55,666,11,1500,823,209,184,14,4,4,93,2,1,1,1,153
1,ALBA,"LICEUL TEHNOLOGIC AIUD",64,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:10:53",704,284,269,15,0,279,5,800,516,79,68,8,4,1,52,0,1,1,0,65
1,ALBA,"LICEUL TEHNOLOGIC AIUD",65,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:29:59",622,276,257,19,0,274,2,700,424,68,70,10,2,3,53,0,1,0,4,63
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",66,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:13",862,320,301,19,0,315,5,900,580,150,49,1,0,0,53,2,1,3,1,55
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",67,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:07:44",1090,367,353,14,0,355,12,1200,833,167,78,10,1,4,50,2,0,0,3,40
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎMBAŞ",68,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:47:20",402,181,161,20,0,178,3,500,319,77,53,8,2,3,19,0,0,1,1,14
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MĂGINA",69,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:59:07",458,209,185,24,0,204,5,500,291,85,49,3,0,3,31,1,0,1,0,31
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:29:18",89,44,33,11,0,44,0,100,56,31,5,2,0,0,2,0,0,0,0,4
1,ALBA,"LICEUL TEHNOLOGIC AGRICOL ”ALEXANDRU BORZA” CIUMBRUD",71,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:35:44",1063,444,419,25,0,442,2,1100,656,179,121,9,1,0,67,1,1,2,2,59
1,ALBA,"ŞCOALA PRIMARĂ GÎRBOVA DE JOS",72,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:51",387,178,144,34,0,177,1,500,322,99,32,2,0,0,30,1,2,0,1,10
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVA DE SUS",73,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:26",193,126,95,31,0,124,2,300,174,66,16,3,1,1,27,1,0,0,1,8
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVIŢA",74,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:03",98,58,41,17,0,57,1,100,42,25,13,3,0,0,7,1,0,0,0,8
1,ALBA,"SALA DE FESTIVITĂŢI DIN SÎNCRAI",75,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:06:32",550,290,256,34,0,288,2,600,310,111,82,7,2,0,58,0,0,0,2,26
1,ALBA,"PIAŢA AGROALIMENTARĂ",76,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:54:28",937,443,413,30,0,441,2,1000,557,190,91,10,3,2,51,1,0,5,3,85
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPIILOR” BLAJ",77,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:30",556,275,240,35,0,268,7,600,325,91,63,11,0,1,50,1,0,0,3,48
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,2,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 04:09:08",740,348,315,33,0,341,7,800,452,281,32,3,1,0,7,0,1,1,2,13
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:26:50",1138,530,488,41,1,524,6,1200,670,200,112,23,2,2,66,3,0,3,1,112
1,ALBA,"ŞCOALA GIMNAZIALĂ ”TOMA COCIŞIU” BLAJ",80,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:34:57",1099,518,470,48,0,511,7,1200,682,194,119,17,4,5,64,2,2,4,2,98
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:21:39",769,445,365,70,10,438,7,800,355,108,133,15,0,2,76,1,1,0,3,99
1,ALBA,"LICEUL TEHNOLOGIC ”ŞTEFAN MANCIULEA” BLAJ",82,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:08:38",618,334,255,64,15,333,1,700,366,111,81,16,1,2,40,1,0,3,0,78
1,ALBA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ BLAJ",83,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:16:30",500,260,234,26,0,254,6,600,340,81,74,5,3,3,18,0,2,0,6,62
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:09:41",317,174,158,16,0,173,1,400,226,86,28,3,0,3,18,0,1,1,0,33
1,ALBA,"LICEUL TEHNOLOGIC ”TIMOTEI CIPARIU”",85,"MUNICIPIUL BLAJ",1348,2,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 04:14:00",1378,790,732,58,0,783,7,1500,710,229,209,25,6,11,83,2,0,5,8,205
