precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
43,STRĂINĂTATE,"CAHUL 1",669,"REPUBLICA MOLDOVA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:54:20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,PODGORICA,677,MUNTENEGRU,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:35:36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ABUJA,678,"REPUBLICA FEDERALĂ NIGERIA",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 13:08:31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"OSLO 1",679,NORVEGIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:28:59",0,8,8,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8
43,STRĂINĂTATE,"HAGA 1",689,"REGATUL ȚĂRILOR DE JOS",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:26:01",0,5,5,0,5,5,0,5,5,0,0,1,1,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,MUSCAT,712,"SULTANATUL OMAN",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 20:39:54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ISLAMABAD,713,"REPUBLICA ISLAMICĂ PAKISTAN",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 20:23:29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,RAMALLAH,714,PALESTINA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 04:15:49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,LIMA,715,"REPUBLICA PERU",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:59:27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,VARȘOVIA,716,POLONIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:18:12",0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,"LISABONA 1",720,PORTUGALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:56:10",0,4,4,0,4,4,0,4,4,0,0,0,1,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,DOHA,729,QATAR,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:38:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
